Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force1,Force2,Force3,Letter
2025-03-07 13:40:37.797,2, 922, 440, -3, 0, 0, 16, 10, -1, 26, 26, 20,noise
2025-03-07 13:40:37.800,5, 913, 428, -1, 0, -1, 15, 9, 1, 30, 27, 27,noise
2025-03-07 13:40:44.710,639, 668, 480, -17, 11, -10, -8, 1, -5, 818, 631, 37,A
2025-03-07 13:40:44.763,612, 725, 451, -23, 12, -9, -9, 0, -5, 791, 638, 23,A
2025-03-07 13:40:44.817,574, 737, 582, 70, -10, -24, -6, 0, -4, 703, 594, 116,A
2025-03-07 13:40:44.871,586, 645, 524, -17, 23, 3, -6, 0, -3, 416, 488, 175,A
2025-03-07 13:40:44.932,487, 670, 615, -27, 3, -17, -7, 1, -4, 218, 391, 129,A
2025-03-07 13:40:44.980,462, 652, 604, -27, 6, 4, -5, 1, -7, 29, 495, 230,A
2025-03-07 13:40:45.037,471, 648, 520, 39, -12, -7, -5, 1, -4, 40, 524, 208,A
2025-03-07 13:40:45.095,584, 818, 379, 25, -5, 9, -5, -1, -4, 543, 575, 282,A
2025-03-07 13:40:45.152,622, 685, 540, -30, 36, 15, -5, -1, -4, 761, 473, 407,A
2025-03-07 13:40:45.197,530, 493, 751, 3, 18, -48, -5, -2, -6, 785, 33, 386,A
2025-03-07 13:40:45.263,190, 940, 512, 39, -21, -14, -5, 0, -5, 765, 192, 368,A
2025-03-07 13:40:45.317,444, 670, 482, 89, 11, 63, -5, -1, -3, 681, 450, 337,A
2025-03-07 13:40:45.373,507, 700, 350, 64, -50, 15, -6, -3, 1, 34, 624, 272,A
2025-03-07 13:40:45.430,693, 526, 243, -70, -32, -5, -9, -4, 1, 30, 697, 372,A
2025-03-07 13:40:45.479,517, 532, 498, 5, -4, -9, -9, -3, -1, 29, 722, 380,A
2025-03-07 13:40:45.537,577, 627, 437, -59, 38, 1, -9, -2, -4, 34, 760, 459,A
2025-03-07 13:40:45.597,536, 743, 591, 13, 11, 10, -8, -2, -3, 457, 790, 605,A
