Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force1,Force2,Force3,Letter
2025-03-10 13:54:03.166,632, 605, 482, -1, 2, -3, 0, 4, 2, 879, 656, 548,noise
2025-03-10 13:54:03.221,659, 614, 459, -4, 4, -3, 1, 3, 1, 880, 655, 548,noise
2025-03-10 13:54:03.266,648, 610, 515, -3, 4, -6, 1, 3, 2, 880, 649, 532,noise
2025-03-10 13:54:03.322,637, 606, 536, 2, -2, -13, 2, 2, 4, 871, 657, 514,noise
2025-03-10 13:54:03.376,617, 644, 526, 1, 4, -15, 3, 2, 2, 859, 653, 460,noise
2025-03-10 13:54:03.427,640, 684, 460, -1, 0, -4, 3, 2, 1, 847, 645, 444,noise
2025-03-10 13:54:03.475,640, 663, 547, 1, -1, -6, 2, 3, 2, 837, 616, 421,noise
2025-03-10 13:54:03.536,644, 601, 453, -15, -5, -10, 0, 2, 2, 830, 637, 469,noise
2025-03-10 13:54:03.589,496, 595, 417, -22, 24, -21, 0, -1, 1, 844, 643, 501,noise
2025-03-10 13:54:03.646,344, 665, 681, -14, 16, 3, 1, 2, -1, 835, 644, 481,noise
2025-03-10 13:54:03.700,495, 661, 619, 11, -24, 28, 1, 0, 0, 840, 654, 495,noise
2025-03-10 13:54:03.752,634, 684, 473, 27, -40, 33, 1, 3, 4, 851, 662, 516,noise
2025-03-10 13:54:03.807,770, 634, 346, 15, -20, 19, -2, 2, 7, 872, 698, 557,noise
2025-03-10 13:54:03.862,690, 557, 394, -21, 14, 20, -2, 3, 7, 895, 714, 609,noise
2025-03-10 13:54:03.917,612, 510, 419, -17, 8, 17, 0, 6, 7, 905, 749, 633,noise
2025-03-10 13:54:03.970,924, 697, 698, 14, -9, 0, 0, 5, 5, 914, 799, 663,noise
2025-03-10 13:54:04.022,526, 511, 463, -13, 9, -7, -1, 5, 5, 912, 803, 680,noise
