Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force1,Force2,Force3,Letter
2025-03-12 12:01:40.370,461, 688, 573, -1, 0, 0, -3, 0, 3, 839, 607, 146,noise
2025-03-12 12:01:40.420,464, 691, 579, 0, -1, 0, -3, 1, 0, 837, 604, 140,noise
2025-03-12 12:01:40.478,467, 692, 585, -2, 0, 0, -2, -1, 2, 839, 610, 138,noise
2025-03-12 12:01:40.525,461, 692, 583, -1, -1, 0, -2, 1, 2, 841, 609, 150,noise
2025-03-12 12:01:40.582,466, 691, 571, -1, 0, 0, -3, 1, 0, 838, 606, 119,noise
2025-03-12 12:01:40.635,463, 689, 577, -1, 0, 0, -3, 0, 2, 841, 613, 152,noise
2025-03-12 12:01:40.685,473, 694, 575, -2, 0, 1, -2, 1, 1, 845, 614, 173,noise
2025-03-12 12:01:40.737,475, 681, 585, -1, 0, 0, -2, 1, 1, 843, 605, 156,noise
2025-03-12 12:01:40.789,470, 694, 574, -2, 0, -1, -2, 1, 2, 843, 611, 169,noise
2025-03-12 12:01:40.840,461, 698, 576, -2, 0, -1, -3, 1, 3, 844, 615, 190,noise
2025-03-12 12:01:40.897,466, 691, 575, -1, 0, 0, -2, 0, 2, 843, 602, 167,noise
2025-03-12 12:01:40.942,465, 692, 576, -2, 1, 0, -3, 1, 2, 847, 610, 187,noise
2025-03-12 12:01:41.000,472, 693, 579, -3, 1, -1, -2, 0, 3, 850, 621, 198,noise
2025-03-12 12:01:41.051,473, 694, 572, -2, 0, 0, -4, 1, 2, 847, 604, 167,noise
2025-03-12 12:01:41.102,465, 689, 586, -2, 0, -1, -3, 1, 2, 850, 622, 192,noise
2025-03-12 12:01:41.158,472, 690, 584, -2, 0, 0, -2, 1, 3, 848, 611, 182,noise
2025-03-12 12:01:41.212,464, 686, 580, -2, 0, -1, -4, 0, 1, 847, 609, 170,noise
2025-03-12 12:01:41.265,463, 684, 582, -1, 0, -1, -3, 1, 3, 849, 615, 187,noise
2025-03-12 12:01:41.317,468, 691, 578, -1, 0, -1, -4, 1, 2, 848, 614, 167,noise
2025-03-12 12:01:41.367,465, 686, 583, -1, 0, -1, -3, 1, 2, 849, 610, 175,noise
2025-03-12 12:01:41.420,477, 692, 567, -1, 0, -1, -3, 0, 2, 851, 615, 200,noise
2025-03-12 12:01:41.470,464, 695, 580, -2, 0, -1, -3, 0, 4, 848, 601, 155,noise
2025-03-12 12:01:41.520,470, 685, 577, -1, 0, -1, -3, 1, 2, 850, 614, 205,noise
2025-03-12 12:01:41.581,470, 691, 575, 0, -1, 0, -3, 1, 3, 849, 603, 171,noise
2025-03-12 12:01:41.634,459, 689, 584, -2, 0, -1, -2, 2, 3, 851, 619, 201,noise
2025-03-12 12:01:41.684,474, 680, 578, -1, 1, -1, -2, 1, 4, 854, 618, 193,noise
2025-03-12 12:01:41.740,465, 689, 580, -2, 0, -1, -1, 2, 3, 851, 616, 184,noise
2025-03-12 12:01:41.794,464, 682, 587, -1, 0, 0, -3, -1, 2, 855, 618, 189,noise
2025-03-12 12:01:41.848,474, 689, 571, -2, 0, -1, -1, -1, 2, 852, 610, 178,noise
2025-03-12 12:01:41.900,469, 691, 584, -1, 0, -1, -2, 1, 3, 853, 619, 184,noise
2025-03-12 12:01:41.951,472, 694, 593, -1, 0, -1, -2, 2, 1, 856, 621, 196,noise
2025-03-12 12:01:42.006,473, 687, 584, 0, 0, -1, -3, 1, 2, 853, 616, 192,noise
2025-03-12 12:01:42.056,457, 674, 580, 0, 0, -1, -3, 1, 2, 854, 617, 195,noise
2025-03-12 12:01:42.110,468, 685, 574, -1, 0, 0, -2, 0, 3, 856, 616, 185,noise
2025-03-12 12:01:42.160,459, 684, 575, -2, 0, 0, -3, -2, 2, 853, 620, 196,noise
2025-03-12 12:01:42.216,464, 691, 582, -2, 0, -1, -4, 0, 1, 853, 620, 185,noise
2025-03-12 12:01:42.266,475, 683, 580, -1, 0, 0, -1, 0, 1, 851, 610, 170,noise
2025-03-12 12:01:42.317,468, 693, 584, 0, 0, -1, -2, 1, 3, 854, 619, 185,noise
2025-03-12 12:01:42.370,478, 689, 569, 0, -1, 0, -3, 0, 2, 853, 621, 204,noise
2025-03-12 12:01:42.419,473, 688, 575, -2, -1, -2, -2, 0, 2, 853, 613, 185,noise
2025-03-12 12:01:42.470,487, 699, 553, -2, 2, -3, -1, 1, 2, 854, 621, 200,noise
2025-03-12 12:01:42.532,469, 704, 564, -2, 1, -3, -2, -1, 3, 850, 614, 181,noise
2025-03-12 12:01:42.583,469, 684, 576, -1, 0, -2, -1, 0, 3, 850, 613, 183,noise
2025-03-12 12:01:42.634,465, 691, 581, -1, -1, -3, -4, 0, 2, 854, 624, 197,noise
2025-03-12 12:01:42.691,460, 691, 581, -1, 0, -2, -3, 1, 1, 852, 623, 197,noise
2025-03-12 12:01:42.743,458, 700, 574, -1, 0, -1, -3, -1, 2, 848, 622, 183,noise
2025-03-12 12:01:42.790,463, 698, 587, -2, 0, -2, -2, 2, 4, 847, 621, 177,noise
2025-03-12 12:01:42.849,458, 697, 579, -1, 0, 0, -3, 0, 2, 849, 627, 199,noise
2025-03-12 12:01:42.904,461, 696, 577, -1, 0, 0, -3, 0, 2, 846, 610, 175,noise
2025-03-12 12:01:42.950,464, 691, 584, 0, 0, 1, -3, 1, 3, 846, 614, 180,noise
2025-03-12 12:01:43.006,473, 690, 576, -1, -1, 0, -3, 0, 3, 847, 613, 175,noise
2025-03-12 12:01:43.060,463, 700, 572, -1, 0, -1, -3, 1, 3, 850, 621, 190,noise
2025-03-12 12:01:43.109,459, 696, 578, -1, 0, 0, -2, 0, 1, 848, 615, 185,noise
2025-03-12 12:01:43.162,458, 701, 574, 0, 1, 0, -1, -1, 4, 848, 608, 201,noise
2025-03-12 12:01:43.216,465, 694, 571, 0, 0, 1, -3, 0, 2, 849, 603, 189,noise
2025-03-12 12:01:43.265,471, 692, 575, 0, 1, 1, -3, 1, 1, 848, 602, 182,noise
2025-03-12 12:01:43.317,476, 695, 563, -1, 1, 0, -1, 2, 3, 849, 605, 191,noise
2025-03-12 12:01:43.371,470, 688, 574, -3, 2, -1, -3, -1, 3, 849, 608, 201,noise
2025-03-12 12:01:43.420,466, 691, 582, -3, 2, -1, -1, 1, 3, 847, 602, 173,noise
2025-03-12 12:01:43.470,464, 696, 575, -1, 0, -1, -3, 2, 2, 848, 605, 183,noise
2025-03-12 12:01:43.531,465, 690, 576, -2, 0, -1, -3, -1, 2, 848, 595, 159,noise
2025-03-12 12:01:43.583,471, 694, 574, -2, 0, -1, -3, -1, 4, 850, 608, 186,noise
2025-03-12 12:01:43.639,464, 688, 577, -1, -1, -1, -3, 1, 3, 846, 598, 178,noise
2025-03-12 12:01:43.693,465, 690, 576, -1, -1, -2, -2, 1, 2, 847, 606, 193,noise
2025-03-12 12:01:43.748,463, 698, 583, -3, 1, -2, -3, 1, 1, 847, 600, 179,noise
2025-03-12 12:01:43.800,463, 690, 580, -2, 0, -1, -1, 0, 2, 845, 599, 180,noise
2025-03-12 12:01:43.850,466, 695, 575, 0, -1, -1, -3, 1, 1, 849, 609, 204,noise
2025-03-12 12:01:43.902,459, 697, 582, -1, 0, 0, -3, 0, 3, 848, 608, 189,noise
2025-03-12 12:01:43.950,466, 693, 579, 1, -2, 1, -2, 1, 1, 850, 612, 201,noise
2025-03-12 12:01:44.010,482, 686, 566, -2, -1, -1, -3, -1, 3, 850, 609, 191,noise
2025-03-12 12:01:44.067,470, 689, 579, -1, -2, -2, -1, 2, 3, 850, 601, 172,noise
2025-03-12 12:01:44.119,474, 696, 571, -3, 0, -4, -3, 0, 2, 848, 598, 150,noise
2025-03-12 12:01:44.170,468, 699, 571, -4, 2, -4, -1, 0, 2, 852, 619, 202,noise
2025-03-12 12:01:44.220,454, 709, 578, -1, 0, -1, -2, 1, 2, 849, 612, 181,noise
