Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force1,Force2,Force3,Letter
2025-03-12 12:17:40.450,-2, 961, 318, -3, 0, -1, 0, -1, -3, 19, 14, 12,noise
2025-03-12 12:17:40.495,-2, 953, 327, -2, 0, -1, 2, 0, 0, 15, 13, 6,noise
2025-03-12 12:17:40.542,-1, 956, 325, 1, 0, 0, 1, -2, -1, 16, 14, 14,noise
2025-03-12 12:17:40.588,0, 957, 320, -2, 0, -1, 1, -1, -1, 5, 3, 9,noise
2025-03-12 12:17:40.638,-3, 958, 320, -1, 0, -1, 1, 0, 0, 16, 17, 21,noise
2025-03-12 12:17:40.687,-2, 961, 322, 0, 0, 0, -1, -2, -1, 17, 14, 16,noise
2025-03-12 12:17:40.736,-2, 958, 327, -2, 0, -1, 1, 0, -2, 24, 19, 19,noise
2025-03-12 12:17:40.780,0, 958, 324, 0, 0, -1, 1, 0, -1, 25, 24, 23,noise
2025-03-12 12:17:40.830,-5, 959, 326, -2, 0, -1, 0, -2, -3, 17, 17, 13,noise
2025-03-12 12:17:40.884,-1, 956, 323, -1, 0, -1, 1, -1, -2, 26, 22, 26,noise
2025-03-12 12:17:40.930,-2, 959, 320, -1, 0, -1, 0, 0, -3, 17, 16, 17,noise
2025-03-12 12:17:40.982,-2, 958, 322, -1, 0, -1, 0, 0, -2, 21, 18, 20,noise
2025-03-12 12:17:41.027,-2, 953, 332, -1, 0, -1, 0, 0, -2, 27, 23, 23,noise
2025-03-12 12:17:41.076,0, 962, 315, -1, 0, -1, 0, -1, -1, 25, 26, 24,noise
2025-03-12 12:17:41.130,-4, 963, 319, -4, 0, -1, -1, -1, -2, 21, 18, 12,noise
2025-03-12 12:17:41.175,3, 959, 324, -4, 0, -1, 0, 0, -2, 24, 17, 16,noise
2025-03-12 12:17:41.224,-2, 957, 326, -2, 0, -1, 0, 1, -2, 26, 24, 25,noise
2025-03-12 12:17:41.273,0, 962, 327, -1, 0, 0, 1, -1, -2, 20, 19, 14,noise
2025-03-12 12:17:41.322,-1, 956, 327, 3, 0, 0, 0, -1, -3, 28, 24, 20,noise
2025-03-12 12:17:41.372,-3, 955, 316, 2, 0, -1, 0, -1, -1, 28, 26, 22,noise
2025-03-12 12:17:41.420,-3, 965, 315, 0, 0, -1, 0, -1, -3, 24, 18, 16,noise
2025-03-12 12:17:41.470,0, 959, 319, -3, 0, -1, 0, -1, -1, 17, 15, 15,noise
2025-03-12 12:17:41.515,0, 962, 320, -3, 0, -1, 1, 0, 0, 20, 19, 19,noise
2025-03-12 12:17:41.562,-2, 962, 320, -5, 0, -1, 0, 1, -1, 19, 16, 11,noise
2025-03-12 12:17:41.610,-5, 961, 320, -2, 0, -1, 1, -1, -1, 11, 8, 5,noise
2025-03-12 12:17:41.658,1, 958, 318, -3, 0, -1, 1, -1, -1, 20, 12, 8,noise
2025-03-12 12:17:41.707,-6, 963, 317, -2, 0, -1, 1, 1, -3, 27, 24, 25,noise
2025-03-12 12:17:41.756,-6, 958, 329, -2, 0, -1, 1, 0, -2, 19, 17, 16,noise
2025-03-12 12:17:41.805,0, 961, 328, -3, 0, -1, 2, -1, -3, 18, 14, 13,noise
2025-03-12 12:17:41.854,-1, 955, 327, -1, 0, -1, 1, -1, -3, 24, 19, 20,noise
2025-03-12 12:17:41.904,-1, 959, 327, -3, 0, -1, 1, -1, -2, 21, 17, 14,noise
2025-03-12 12:17:41.953,0, 958, 325, -1, 0, 0, 1, -2, -2, 16, 18, 14,noise
2025-03-12 12:17:42.002,-2, 967, 325, -1, 0, -1, 0, 0, -2, 19, 21, 20,noise
2025-03-12 12:17:42.051,-3, 961, 321, -3, 0, -1, -1, -2, -2, 25, 22, 25,noise
2025-03-12 12:17:42.100,3, 956, 324, 0, 0, -1, 0, -2, 0, 17, 13, 9,noise
2025-03-12 12:17:42.143,-4, 963, 321, 1, 0, 0, 0, 0, -2, 26, 24, 25,noise
2025-03-12 12:17:42.193,-3, 956, 321, -1, 0, -1, 1, 0, -1, 17, 16, 12,noise
2025-03-12 12:17:42.240,1, 959, 317, -3, 0, -1, -1, 0, -3, 16, 20, 21,noise
2025-03-12 12:17:42.289,1, 958, 322, 1, 0, -1, 0, -1, -2, 28, 23, 22,noise
2025-03-12 12:17:42.338,-2, 959, 325, 0, 0, -1, 0, -2, -3, 22, 20, 18,noise
2025-03-12 12:17:42.388,-3, 963, 326, 1, 0, -1, 1, 0, -2, 24, 25, 23,noise
2025-03-12 12:17:42.436,-3, 962, 322, 0, 0, -1, 0, -2, -2, 10, 10, 18,noise
2025-03-12 12:17:42.486,0, 961, 320, -4, 0, -1, 0, -1, -2, 16, 13, 14,noise
2025-03-12 12:17:42.534,-2, 958, 317, -4, 0, -1, 1, -2, -1, 18, 14, 9,noise
2025-03-12 12:17:42.580,0, 958, 328, 0, 0, -1, -1, -1, -1, 10, 8, 4,noise
2025-03-12 12:17:42.626,0, 959, 329, -1, 0, -1, 0, -1, -3, 25, 25, 24,noise
2025-03-12 12:17:42.678,-2, 963, 322, -1, 0, -1, 2, -1, -2, 26, 24, 25,noise
2025-03-12 12:17:42.731,-2, 958, 321, -1, 0, -1, 0, -1, -2, 12, 12, 11,noise
2025-03-12 12:17:42.770,-5, 958, 320, 3, 0, -1, -1, -1, -2, 17, 12, 7,noise
2025-03-12 12:17:42.820,0, 952, 324, -3, 0, -1, 0, -2, -2, 7, 7, 6,noise
2025-03-12 12:17:42.870,1, 961, 321, 0, 0, -1, -1, -1, -1, 20, 13, 16,noise
2025-03-12 12:17:42.920,-4, 955, 321, -2, 0, -1, 1, 0, -1, 22, 23, 23,noise
2025-03-12 12:17:42.969,1, 958, 324, 0, 0, -1, 0, -1, -1, 25, 23, 25,noise
2025-03-12 12:17:43.018,0, 961, 322, -3, 0, -1, 1, -2, -2, 27, 22, 25,noise
2025-03-12 12:17:43.065,-5, 964, 322, -1, 0, -1, 2, 0, -2, 27, 25, 24,noise
2025-03-12 12:17:43.110,0, 961, 324, -4, 0, -1, -1, -2, -2, 19, 18, 17,noise
2025-03-12 12:17:43.165,-3, 960, 311, 4, 0, -1, 1, -3, -3, 25, 23, 22,noise
2025-03-12 12:17:43.213,-1, 962, 315, -1, 0, -1, 1, -3, -2, 26, 23, 23,noise
2025-03-12 12:17:43.263,-5, 964, 318, 4, 0, -1, 2, 0, -3, 19, 16, 16,noise
2025-03-12 12:17:43.309,0, 953, 311, 7, 0, 0, 0, -1, -1, 18, 17, 15,noise
2025-03-12 12:17:43.354,1, 966, 295, 2, 0, 0, 2, -1, -2, 26, 23, 25,noise
2025-03-12 12:17:43.403,0, 962, 309, -10, 0, 0, 1, -1, 0, 5, 3, 8,noise
2025-03-12 12:17:43.443,1, 964, 310, -8, 0, 0, 0, -1, -2, 19, 19, 15,noise
2025-03-12 12:17:43.501,0, 963, 324, -1, 0, -1, -1, -2, -1, 28, 25, 19,noise
2025-03-12 12:17:43.550,-2, 966, 314, 4, 0, -1, -1, -1, -3, 25, 19, 17,noise
2025-03-12 12:17:43.595,-4, 958, 309, 0, 0, -1, 0, 0, -2, 22, 18, 18,noise
2025-03-12 12:17:43.640,-1, 958, 299, 2, 0, 0, 1, -1, -1, 26, 24, 25,noise
2025-03-12 12:17:43.691,5, 966, 316, 2, 0, -1, -1, -2, -1, 28, 24, 24,noise
2025-03-12 12:17:43.740,3, 977, 295, 8, 0, -1, 1, -1, -1, 29, 22, 19,noise
2025-03-12 12:17:43.790,2, 983, 294, 2, 0, -1, -1, -1, -1, 29, 25, 23,noise
2025-03-12 12:17:43.837,1, 968, 295, -2, 0, -1, 1, -1, -1, 20, 16, 18,noise
2025-03-12 12:17:43.886,3, 967, 293, 1, 0, -1, 1, -1, -1, 14, 21, 16,noise
2025-03-12 12:17:43.935,0, 965, 298, -1, 0, -1, 1, -1, 0, 9, 17, 14,noise
2025-03-12 12:17:43.980,0, 968, 291, 0, 0, -1, -1, -1, -1, 17, 17, 12,noise
2025-03-12 12:17:44.026,-2, 968, 299, -1, 0, -1, 0, 0, -2, 16, 17, 16,noise
2025-03-12 12:17:44.079,-1, 968, 294, -2, 0, -1, -1, 0, -1, 19, 10, 7,noise
2025-03-12 12:17:44.124,1, 965, 296, -2, 0, -1, 1, 0, -1, 6, 6, 12,noise
2025-03-12 12:17:44.170,2, 972, 294, -1, 0, -1, -1, 1, 0, 20, 15, 18,noise
2025-03-12 12:17:44.218,1, 967, 294, -1, 0, 0, 1, 0, 0, 17, 15, 13,noise
