Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 17:21:15.124,662, -77, 717, -7, 24, 9, -2, -2, 3, 450, 22,noise
2025-02-19 17:21:15.222,656, -72, 737, 22, -3, 11, -1, -2, 2, 393, 19,noise
2025-02-19 17:21:15.329,573, -105, 766, -9, -7, 1, -1, 1, 3, 216, 16,noise
2025-02-19 17:21:15.435,625, -103, 739, -11, -5, -11, -1, 0, 2, 68, 18,noise
2025-02-19 17:21:15.546,676, -91, 738, -13, -3, -2, -1, -1, 3, 110, 19,noise
2025-02-19 17:21:15.648,674, -112, 738, -14, 5, -1, -1, -1, 4, 0, 21,noise
2025-02-19 17:21:15.755,654, -108, 750, -20, -2, 2, -1, -3, 5, 1, 20,noise
2025-02-19 17:21:15.865,662, -155, 754, -5, -5, -2, -2, -2, 4, 0, 23,noise
2025-02-19 17:21:15.971,684, -144, 730, 5, -13, -4, -1, -2, 5, 5, 22,noise
2025-02-19 17:21:16.078,684, -125, 682, -6, -6, -1, -2, -2, 6, 147, 22,noise
2025-02-19 17:21:17.103,730, -127, 643, -24, -14, -22, -4, -2, 11, 686, 47,A
2025-02-19 17:21:17.196,747, -125, 647, -15, -10, -8, -5, -6, 11, 720, 58,A
2025-02-19 17:21:17.299,747, -129, 641, 1, -8, 0, -3, -5, 9, 753, 68,A
2025-02-19 17:21:17.409,762, -121, 615, -3, 2, -8, -5, -6, 11, 757, 74,A
2025-02-19 17:21:17.520,788, -120, 585, -6, -3, -16, -4, -6, 11, 765, 97,A
2025-02-19 17:21:17.622,1030, 292, 487, -5, -11, 46, -5, -7, 12, 4, 100,A
2025-02-19 17:21:17.733,772, -159, 631, -18, 20, -63, -5, -6, 12, 566, 94,A
2025-02-19 17:21:17.839,761, -146, 644, -9, -35, 64, -5, -5, 11, 682, 95,A
2025-02-19 17:21:17.946,898, -28, 644, 13, 50, -12, -4, -3, 12, 725, 92,A
2025-02-19 17:21:18.056,1070, 76, 553, 53, -27, -28, -4, -8, 11, 218, 95,A
2025-02-19 17:21:18.159,778, -5, 667, -12, 2, 33, -5, -6, 12, 831, 82,A
2025-02-19 17:21:18.979,741, -78, 650, 0, -10, -10, -3, -5, 9, 625, 63,B
2025-02-19 17:21:19.073,764, -60, 651, 0, -2, -4, -3, -6, 9, 640, 71,B
2025-02-19 17:21:19.183,800, -43, 535, -13, -6, -14, -4, -7, 9, 568, 96,B
2025-02-19 17:21:19.290,766, 221, 573, -6, -26, 74, -4, -5, 11, 520, 97,B
2025-02-19 17:21:19.399,686, -138, 521, -9, 15, -63, -5, -6, 10, 571, 80,B
2025-02-19 17:21:19.503,653, 14, 754, -8, -19, 23, -4, -6, 11, 752, 96,B
2025-02-19 17:21:19.613,884, -145, 452, 40, 22, -7, -4, -6, 11, 593, 97,B
2025-02-19 17:21:19.719,798, 43, 560, -16, -8, 32, -5, -6, 12, 480, 102,B
2025-02-19 17:21:19.826,651, -103, 515, -31, 69, 32, -3, -3, 8, 499, 43,B
2025-02-19 17:21:20.643,750, -104, 637, -1, -4, -6, -4, -5, 9, 637, 54,C
2025-02-19 17:21:20.739,753, -89, 634, -2, -3, -6, -4, -6, 11, 653, 58,C
2025-02-19 17:21:20.850,745, -86, 632, 10, -17, -5, -4, -4, 10, 723, 65,C
2025-02-19 17:21:20.956,773, -106, 621, -10, 4, -30, -6, -6, 11, 678, 92,C
2025-02-19 17:21:21.059,991, 171, 473, 22, -18, 76, -4, -7, 9, 205, 0,C
2025-02-19 17:21:21.169,721, -92, 699, 20, -7, 4, -3, -4, 11, 803, 93,C
2025-02-19 17:21:21.276,570, -189, 706, -27, 23, -1, -3, -3, 9, 713, 36,C
2025-02-19 17:21:22.091,750, -87, 646, -3, -3, -4, -3, -4, 8, 643, 56,D
2025-02-19 17:21:22.189,784, -68, 632, -3, 2, -2, -4, -5, 10, 634, 58,D
2025-02-19 17:21:22.300,684, -115, 670, -1, -11, -12, -4, -6, 9, 640, 58,D
2025-02-19 17:21:22.407,789, -37, 533, -16, 1, -20, -4, -8, 11, 526, 94,D
2025-02-19 17:21:22.512,786, 281, 532, -2, -14, 75, -5, -5, 11, 344, 94,D
2025-02-19 17:21:22.623,617, -305, 445, 13, -15, -59, -3, -6, 11, 616, 90,D
2025-02-19 17:21:22.726,647, -39, 772, 5, -20, 52, -4, -7, 10, 729, 90,D
2025-02-19 17:21:22.836,928, -113, 534, 42, 27, -16, -4, -4, 11, 258, 82,D
2025-02-19 17:21:22.939,465, -225, 737, -15, 9, 1, -2, -2, 6, 571, 31,D
2025-02-19 17:21:23.762,730, -119, 646, -3, -1, -1, -4, -6, 8, 486, 50,E
2025-02-19 17:21:23.856,737, -118, 648, 3, -3, -6, -5, -6, 9, 509, 53,E
2025-02-19 17:21:23.963,735, -98, 647, 5, -12, -10, -4, -5, 10, 579, 62,E
2025-02-19 17:21:24.069,749, -24, 630, -4, 1, -21, -5, -6, 11, 565, 76,E
2025-02-19 17:21:24.180,878, -266, 723, 22, -7, 37, -6, -8, 11, 446, 90,E
2025-02-19 17:21:24.286,804, 70, 621, -11, -10, -42, -4, -4, 10, 474, 92,E
2025-02-19 17:21:24.393,819, -121, 586, 69, 2, -27, -5, -8, 9, 471, 91,E
2025-02-19 17:21:24.499,638, -134, 736, -1, 0, 51, -3, -6, 11, 793, 0,E
2025-02-19 17:21:24.606,801, -214, 563, 71, 9, -10, -6, -7, 8, 225, 86,E
2025-02-19 17:21:24.717,619, -124, 809, -28, -4, 48, -4, -6, 10, 734, 90,E
2025-02-19 17:21:24.823,872, -135, 625, 94, -4, -3, -4, -4, 9, 458, 90,E
2025-02-19 17:21:24.929,1082, -11, 703, -33, 45, 26, -4, -4, 9, 766, 80,E
2025-02-19 17:21:25.036,554, -176, 711, 12, 5, -10, -2, -2, 8, 648, 30,E
2025-02-19 17:21:25.757,734, -77, 646, -1, -3, -3, -3, -7, 9, 478, 53,F
2025-02-19 17:21:25.850,750, -68, 646, -2, -9, -9, -5, -5, 9, 512, 62,F
2025-02-19 17:21:25.958,758, -70, 620, -5, -1, -9, -3, -6, 11, 509, 73,F
2025-02-19 17:21:26.068,806, -123, 747, -1, 3, -20, -6, -7, 10, 455, 92,F
2025-02-19 17:21:26.174,811, 267, 584, -4, -16, 58, -4, -7, 10, 174, 93,F
2025-02-19 17:21:26.281,635, -101, 561, -39, 40, -57, -4, -6, 11, 547, 74,F
2025-02-19 17:21:26.387,807, 119, 599, 7, -31, 23, -3, -8, 11, 714, 88,F
2025-02-19 17:21:26.494,511, 45, 563, -13, 47, 18, -3, -6, 11, 629, 68,F
2025-02-19 17:21:26.600,778, 117, 596, 13, -43, 19, -3, -7, 7, 669, 87,F
2025-02-19 17:21:26.711,903, 184, 584, -59, 89, 30, -4, -6, 10, 735, 60,F
2025-02-19 17:21:27.526,756, -52, 647, 8, -5, -2, -3, -6, 9, 669, 56,G
2025-02-19 17:21:27.624,765, -49, 639, -2, -5, -4, -4, -7, 10, 740, 61,G
2025-02-19 17:21:27.730,770, 59, 515, -7, -2, -9, -4, -8, 12, 766, 90,G
2025-02-19 17:21:27.837,914, 127, 549, 18, 3, 48, -4, -9, 7, 425, 89,G
2025-02-19 17:21:27.948,682, -84, 666, 12, -10, -28, -4, -5, 8, 764, 89,G
2025-02-19 17:21:28.054,814, 111, 584, -16, -9, 47, -3, -4, 11, 655, 90,G
2025-02-19 17:21:28.161,395, -247, 480, 5, 3, -58, -3, -7, 10, 670, 81,G
2025-02-19 17:21:28.267,748, 19, 656, 8, -21, 28, -3, -5, 10, 827, 89,G
2025-02-19 17:21:28.374,740, -76, 577, -30, 61, 18, -3, -4, 9, 770, 47,G
2025-02-19 17:21:29.292,757, -73, 646, 0, -1, -3, -4, -5, 9, 662, 51,H
2025-02-19 17:21:29.386,742, -66, 643, -3, 0, -8, -4, -5, 8, 627, 53,H
2025-02-19 17:21:29.496,684, -67, 626, 3, -14, -35, -4, -8, 9, 575, 69,H
2025-02-19 17:21:29.602,742, 83, 706, 3, -16, 63, -3, -7, 9, 605, 90,H
2025-02-19 17:21:29.713,745, -175, 576, -5, 19, -45, -4, -5, 10, 557, 89,H
2025-02-19 17:21:29.816,736, 78, 623, 14, -33, 32, -2, -7, 9, 742, 86,H
2025-02-19 17:21:29.927,456, -253, 661, -2, -30, -60, -4, -6, 9, 795, 74,H
2025-02-19 17:21:30.033,803, 71, 604, 2, -16, 102, -3, -6, 9, 620, 90,H
2025-02-19 17:21:30.140,683, -164, 573, -43, 80, 13, -2, -5, 8, 712, 44,H
2025-02-19 17:21:31.058,731, -88, 655, 2, -5, -6, -4, -5, 11, 591, 50,I
2025-02-19 17:21:31.150,764, -62, 652, 5, -3, -5, -5, -6, 8, 612, 57,I
2025-02-19 17:21:31.262,738, -44, 667, 6, -1, -10, -4, -5, 10, 584, 64,I
