Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force1,Force2,Force3,Letter
2025-03-19 22:03:59.111,607, 787, 59, -1, 0, -1, -1, -2, 2, 798, 632, 66,noise
2025-03-19 22:03:59.119,609, 788, 56, -1, 0, -1, -1, 2, 5, 801, 635, 80,noise
2025-03-19 22:03:59.127,610, 793, 48, -1, 0, 0, -3, 0, 4, 802, 640, 95,noise
2025-03-19 22:03:59.135,613, 793, 49, -1, 0, -1, -1, 1, 3, 802, 638, 92,noise
2025-03-19 22:03:59.143,610, 791, 53, -2, 0, 0, -1, 2, 6, 801, 639, 90,noise
2025-03-19 22:03:59.155,607, 786, 55, -1, 0, -1, -1, 4, 0, 801, 635, 81,noise
2025-03-19 22:03:59.163,608, 790, 56, -1, 0, -1, -3, 2, 2, 799, 631, 70,noise
2025-03-19 22:03:59.172,608, 786, 49, -1, 0, -1, 0, 1, 0, 796, 629, 61,noise
2025-03-19 22:03:59.180,612, 790, 50, -1, 0, -1, 0, 1, 0, 797, 630, 66,noise
2025-03-19 22:03:59.188,605, 791, 52, -1, 0, 0, -3, 1, 3, 802, 640, 94,noise
2025-03-19 22:03:59.196,604, 791, 53, -1, 0, 0, 1, 1, 0, 802, 638, 93,noise
2025-03-19 22:03:59.205,607, 801, 52, -1, 0, 0, 0, 1, 2, 802, 638, 93,noise
2025-03-19 22:03:59.213,608, 794, 47, -1, 0, -1, -2, 2, 3, 801, 635, 82,noise
2025-03-19 22:03:59.221,608, 794, 50, -2, 0, -1, 1, 1, 5, 799, 634, 78,noise
2025-03-19 22:03:59.233,610, 789, 50, -1, 0, -1, -1, 5, -1, 799, 633, 73,noise
2025-03-19 22:03:59.241,607, 791, 54, -1, 0, -1, 0, 1, 2, 797, 629, 66,noise
2025-03-19 22:03:59.250,606, 792, 54, -1, 0, 0, 0, 1, 1, 799, 634, 76,noise
2025-03-19 22:03:59.258,604, 789, 53, -1, 0, -1, 0, 1, 1, 801, 636, 80,noise
2025-03-19 22:03:59.266,609, 792, 51, -1, 0, 0, -2, 2, 3, 801, 639, 93,noise
2025-03-19 22:03:59.274,613, 791, 54, -1, 0, -1, 1, 5, 3, 800, 634, 85,noise
2025-03-19 22:03:59.283,611, 789, 56, -1, 0, -1, -2, 0, 5, 799, 635, 78,noise
2025-03-19 22:03:59.291,615, 786, 55, 0, 0, 0, 2, 2, 5, 799, 634, 75,noise
2025-03-19 22:03:59.306,613, 797, 50, -1, 0, -1, -2, 3, 3, 799, 634, 78,noise
2025-03-19 22:03:59.317,611, 795, 45, -1, 0, -1, -5, 1, 1, 799, 634, 75,noise
2025-03-19 22:03:59.320,618, 799, 52, -2, 0, -1, 0, 2, 3, 798, 633, 79,noise
2025-03-19 22:03:59.327,607, 788, 53, -3, 0, -1, 0, 2, 3, 799, 634, 78,noise
2025-03-19 22:03:59.335,602, 785, 57, -2, 0, -1, 2, 5, 0, 799, 636, 90,noise
2025-03-19 22:03:59.344,604, 786, 61, -2, 0, -1, 0, 4, 2, 798, 633, 86,noise
2025-03-19 22:03:59.352,608, 786, 60, -2, 0, 0, 0, 0, 1, 796, 634, 78,noise
2025-03-19 22:03:59.360,605, 789, 57, -1, 0, -1, -2, 0, 3, 798, 634, 78,noise
2025-03-19 22:03:59.368,608, 789, 57, -1, 0, 0, 1, -1, 2, 799, 637, 82,noise
2025-03-19 22:03:59.377,606, 780, 56, -1, 0, 0, 1, 2, 0, 800, 636, 89,noise
2025-03-19 22:03:59.385,608, 791, 56, 0, 0, 0, 0, 1, 0, 797, 634, 79,noise
2025-03-19 22:03:59.397,612, 792, 51, 0, -1, -1, 0, 1, 0, 795, 632, 76,noise
2025-03-19 22:03:59.405,615, 790, 49, 0, -1, 0, -1, 1, 2, 797, 637, 88,noise
2025-03-19 22:03:59.413,616, 794, 45, 0, 0, -1, 1, 3, 2, 796, 635, 79,noise
2025-03-19 22:03:59.422,612, 791, 44, 0, 0, -1, 0, 1, 4, 798, 634, 78,noise
2025-03-19 22:03:59.430,608, 796, 48, -1, 0, -1, -1, 5, 6, 800, 635, 82,noise
2025-03-19 22:03:59.438,602, 798, 45, -1, 0, -1, -2, 1, 0, 802, 639, 93,noise
2025-03-19 22:03:59.446,604, 792, 48, -2, 0, -1, 0, 3, 0, 802, 639, 91,noise
2025-03-19 22:03:59.455,600, 790, 55, -1, 0, -1, 1, -2, 4, 798, 636, 74,noise
2025-03-19 22:03:59.463,607, 788, 57, -1, 0, 0, -4, 3, 3, 797, 635, 71,noise
2025-03-19 22:03:59.471,606, 788, 59, 0, -1, 0, -4, 3, 3, 800, 636, 70,noise
2025-03-19 22:03:59.483,613, 791, 57, 0, -1, 0, -2, 2, 2, 800, 637, 80,noise
2025-03-19 22:03:59.491,610, 791, 50, -1, 0, 0, 1, 4, 1, 802, 640, 82,noise
2025-03-19 22:03:59.499,609, 791, 53, -1, 0, 0, 2, 3, 1, 804, 644, 94,noise
2025-03-19 22:03:59.508,607, 785, 53, -1, 0, 0, 0, 4, 3, 804, 644, 96,noise
2025-03-19 22:03:59.516,612, 786, 50, -1, 0, 0, 2, 0, 5, 803, 642, 90,noise
2025-03-19 22:03:59.524,614, 784, 43, -1, 0, 0, -1, 2, 0, 799, 636, 70,noise
2025-03-19 22:03:59.532,615, 788, 45, -2, 0, -1, 0, 2, 1, 797, 634, 65,noise
2025-03-19 22:03:59.541,612, 790, 47, -1, 0, 0, 0, 2, 1, 797, 635, 69,noise
2025-03-19 22:03:59.549,605, 788, 48, -1, 0, 0, 0, 0, 4, 802, 642, 80,noise
2025-03-19 22:03:59.561,611, 789, 53, -1, 0, 0, 1, 0, 0, 803, 645, 92,noise
2025-03-19 22:03:59.570,611, 790, 49, -1, 0, -1, 3, 4, 5, 803, 645, 96,noise
2025-03-19 22:03:59.577,611, 789, 54, -1, 0, -1, 3, 2, 6, 802, 643, 93,noise
2025-03-19 22:03:59.586,606, 793, 58, -1, 0, -1, -2, -1, 1, 802, 640, 86,noise
2025-03-19 22:03:59.594,606, 791, 53, 0, 0, -1, -3, 0, 2, 797, 636, 77,noise
2025-03-19 22:03:59.602,610, 794, 52, -1, 0, -1, 1, 2, 0, 796, 632, 69,noise
2025-03-19 22:03:59.610,612, 791, 49, -1, 0, 0, 1, 2, 0, 796, 635, 70,noise
2025-03-19 22:03:59.619,615, 788, 44, -1, 0, 0, -2, 2, 2, 802, 644, 87,noise
2025-03-19 22:03:59.627,612, 789, 46, -1, 0, 0, -2, 2, 2, 801, 646, 95,noise
2025-03-19 22:03:59.636,605, 791, 49, -1, 0, -1, -2, 3, 2, 800, 644, 92,noise
2025-03-19 22:03:59.647,610, 790, 47, -1, 0, -1, 3, 3, 4, 799, 643, 90,noise
2025-03-19 22:03:59.655,610, 791, 46, 0, 0, -1, 1, 3, 5, 797, 638, 83,noise
2025-03-19 22:03:59.663,607, 791, 44, -1, 0, -1, 1, -1, 4, 797, 639, 77,noise
2025-03-19 22:03:59.672,611, 793, 46, -2, 0, -1, -1, 1, 2, 794, 634, 68,noise
2025-03-19 22:03:59.680,611, 788, 49, -2, 0, -1, 1, 1, 1, 798, 638, 69,noise
2025-03-19 22:03:59.688,609, 790, 48, -2, 0, -1, 1, 1, 1, 801, 643, 82,noise
2025-03-19 22:03:59.696,613, 788, 51, -2, 0, -1, 1, 2, 3, 801, 644, 91,noise
2025-03-19 22:03:59.705,611, 787, 50, -2, 0, -1, -1, -1, 2, 801, 644, 90,noise
2025-03-19 22:03:59.713,608, 793, 48, -1, 0, -1, 1, 0, 4, 799, 642, 83,noise
2025-03-19 22:03:59.725,607, 797, 51, -1, 0, -1, -2, 0, 5, 799, 638, 81,noise
2025-03-19 22:03:59.733,613, 791, 48, -1, 0, -1, 1, 2, 5, 800, 638, 73,noise
2025-03-19 22:03:59.741,606, 793, 47, -2, 0, -1, -1, -1, 5, 799, 636, 68,noise
2025-03-19 22:03:59.749,610, 790, 50, -2, 0, 0, -1, 2, 3, 800, 641, 77,noise
2025-03-19 22:03:59.758,610, 786, 49, -1, 0, 0, -1, 2, 3, 800, 640, 77,noise
2025-03-19 22:03:59.766,606, 791, 52, -1, 0, -1, 3, 2, 3, 802, 643, 90,noise
2025-03-19 22:03:59.774,608, 789, 51, -1, 0, -1, 2, 4, 2, 801, 642, 81,noise
2025-03-19 22:03:59.782,609, 787, 47, -1, 0, 0, -1, 1, 4, 799, 640, 79,noise
2025-03-19 22:03:59.791,610, 794, 46, -1, 0, -1, 0, 1, 3, 799, 640, 76,noise
2025-03-19 22:03:59.799,609, 795, 52, -1, 0, -1, 1, 1, 4, 800, 640, 80,noise
2025-03-19 22:03:59.811,613, 789, 50, -2, 0, 0, 1, 0, 5, 802, 641, 87,noise
2025-03-19 22:03:59.819,606, 788, 48, -2, 0, -1, -1, 1, 3, 798, 638, 70,noise
2025-03-19 22:03:59.827,608, 790, 47, -2, 0, -1, -1, 1, 3, 800, 639, 69,noise
2025-03-19 22:03:59.835,610, 788, 53, -2, 0, 0, -1, 2, 0, 801, 640, 77,noise
2025-03-19 22:03:59.844,605, 790, 55, -2, 0, -1, 0, 2, -3, 799, 639, 72,noise
2025-03-19 22:03:59.852,605, 786, 55, -1, 0, 0, -3, 1, 2, 799, 640, 70,noise
2025-03-19 22:03:59.860,604, 787, 50, -1, 0, 0, 1, 1, 3, 800, 641, 73,noise
2025-03-19 22:03:59.869,607, 788, 54, -1, 0, 0, -1, 0, 4, 801, 646, 84,noise
2025-03-19 22:03:59.877,610, 792, 54, 0, 0, -1, 1, 1, 3, 800, 641, 86,noise
2025-03-19 22:03:59.888,613, 791, 52, 0, 0, 0, -2, 2, 2, 797, 636, 74,noise
2025-03-19 22:03:59.897,609, 789, 48, -1, 0, 0, -4, 2, 2, 795, 635, 67,noise
2025-03-19 22:03:59.905,612, 791, 45, -1, 0, -1, -4, 2, 2, 797, 637, 68,noise
2025-03-19 22:03:59.913,611, 791, 47, -1, 0, -1, -1, 2, 0, 797, 638, 70,noise
2025-03-19 22:03:59.921,611, 793, 49, -2, 0, -1, 1, 3, 0, 798, 639, 69,noise
2025-03-19 22:03:59.930,608, 793, 50, -2, 0, -1, -1, 0, 6, 800, 643, 74,noise
2025-03-19 22:03:59.938,609, 789, 51, -2, 0, -1, -1, 1, 5, 800, 642, 84,noise
2025-03-19 22:03:59.946,606, 793, 50, -1, 0, -1, 1, -1, 5, 800, 641, 79,noise
2025-03-19 22:03:59.955,609, 793, 49, -2, 0, -1, 1, 1, 2, 795, 635, 38,noise
2025-03-19 22:03:59.963,606, 792, 50, -1, 0, 0, -1, 3, 0, 794, 634, 36,noise
2025-03-19 22:03:59.974,609, 789, 52, -1, 0, -1, -1, 3, 0, 795, 636, 26,noise
2025-03-19 22:03:59.983,604, 788, 53, 0, 0, 0, 2, 1, 1, 798, 638, 40,noise
